source,soru,cevap,category,qid,edited_cevap,label
ragturk,Federal Beyanname veya Birlik Mektubu hangi müzede sergilenmektedir?,Schwyz'deki 'Bundesbriefmuseum'de.,FACTUAL,,,
ragturk,"Federal Beyanname'nin (1291) kuruluş amacı ile Bundesbriefmuseum'da sergilenen sonraki beyannameler arasındaki fark, İsviçre birliğinin zaman içindeki gelişimini nasıl göstermektedir?","Federal Beyanname (1291), başlangıçta üç orman kantonunun ebedi birliğini kurarken, Bundesbriefmuseum'da sergilenen 1315'ten 1513'e kadar olan sonraki beyannameler, birliğe Luzern, Glarus, Zug, Zürih, Bern, Freiburg, Solothurn, Basel, Schaffhausen ve Appenzell gibi daha fazla kanton ve şehrin katılmasıyla İsviçre birliğinin zaman içinde genişleyip geliştiğini göstermektedir.",INTERPRETATION,,,
ragturk,Finlandiya'nın başkenti Helsinki hangi yılda kuruldu?,1550,FACTUAL,,,
ragturk,"Miladi takvime göre yılın 163. veya artık yıllarda 164. günü olan 12 Haziran'da, II. Dünya Savaşı ile ilgili hangi önemli gelişmeler yaşanmıştır?","12 Haziran 1940'ta, Cumhurbaşkanı İsmet İnönü Başkanlığında toplanan Hükûmet, savaş dışı kalınmasını kararlaştırmış; aynı gün 54 bin kişiden oluşan İngiliz ve Fransız Birlikleri, Manş Denizi sınırında Saint-Valery-en-Caux'da, Alman Generalfeldmarschall Erwin Rommel'in ordularına teslim olmuş ve Alman Birlikleri Paris'e doğru ilerlemeye devam etmiştir. Ayrıca 12 Haziran 1941'de Çanakkale açıklarında bir Fransız ticaret gemisi torpillenerek batırılmıştır.",FACTUAL,,,
ragturk,"CD-1'de yer alan ""Unutmamalı"" şarkısında kim yer almaktadır?",Tarkan.,FACTUAL,,,
ragturk,"Ozan Doğulu'nun 130 Bpm Quartet albümü, 130 Bpm serisindeki üç albümü ve 'Dağılmak İstiyorum' şarkısını disk yapısında nasıl bir araya getirmektedir?","130 Bpm Quartet albümü, dört diskten oluşmaktadır. Bu disklerden CD-1 '130 Bpm', CD-2 '130 Bpm Allegro' ve CD-4 '130 Bpm Moderato' isimli üç albümü içerirken, CD-3 ise 'Dağılmak İstiyorum' adlı single'a ayrılmıştır. Bu şekilde üç albüm ve tek şarkı ayrı disklere bölünerek toplama albüm oluşturulmuştur.",INTERPRETATION,,,
ragturk,143 Adria'nın ışık eğrisi grafiğini kim yayımladı?,BD Warner,FACTUAL,,,
ragturk,"143 Adria'nın fotometrik gözlemlerle belirlenen ışık eğrisi ve dönme periyodu gibi detaylı verilerine, sağlanan dış bağlantılar aracılığıyla nasıl ulaşılabilir?","143 Adria'nın fotometrik gözlemleriyle elde edilen düzensiz ışık eğrisi ve 22,005 ± 0,001 saatlik dönme periyoduna ilişkin bilgiler, Palmer Divide Gözlemevi'nin 143 Adria'nın ışık eğrisi grafiği ve Asteroid Lightcurve Database (LCDB) gibi dış bağlantılar üzerinden incelenebilir.",INTERPRETATION,,,
ragturk,Kolomb'a sefere çıkması için kim finansal destek ve izin sağladı?,Kraliçe Isabel,FACTUAL,,,
ragturk,"1492: Cennetin Keşfi filminin ele aldığı Kristof Kolomb'un yeni dünyadaki yerleşim çabaları ve Avrupa'daki etkileri konusu, metinde açıklanan Kolomb'un hangi motivasyonları ve karşılaştığı temel zorluklarla şekillenmektedir?","Kolomb, Avrupa'nın sıkışan toplumları için yeni bir yerleşim yeri bulmayı amaçlamış ve yedi yıl süren finansman arayışının ardından Kraliçe Isabel'i ikna etmiştir. Yeni kıyılarda İspanya için sömürge kurma hayali, onun yerleşim çabalarını tanımlarken, bu topraklarda zaten yaşayan yerlilerin varlığı da karşılaştığı temel zorluklardan birini oluşturur.",INTERPRETATION,,,
ragturk,"Nellie Bly, Dünya seyahatine ne zaman başladı?",1889,FACTUAL,,,
ragturk,"14 Kasım tarihi, dünya genelinde hangi önemli 'ilkler' veya dönüm noktalarıyla ilişkilendirilebilir?","14 Kasım tarihinde, 1914 yılında Fuat Uzkınay'ın çektiği ilk Türk filmi ""Ayastefanos'taki Rus Abidesinin Yıkılışı"" gösterime girdi. Aynı günde, 1922'de BBC Birleşik Krallık'ta radyo yayınlarına başladı ve 1971'de Mariner 9, Mars gezegenine ulaşarak başka bir gezegenin yörüngesinde dönen ilk uzay aracı unvanını kazandı.",INTERPRETATION,,,
ragturk,Anadolu Selçuklu Devleti hangi yılda yıkılmıştır?,1308,FACTUAL,,,
ragturk,14. yüzyılda Avrupa ve Moğol İmparatorluğu'ndaki tahmini yüksek ölüm oranına hangi faktörler katkıda bulunmuştur?,"14. yüzyılda Avrupa ve Moğol İmparatorluğu'ndaki yüksek ölüm oranına siyasi nedenler ve doğal afetler katkıda bulunmuştur. Siyasi nedenlere Yüz Yıl Savaşı'nın başlaması örnek verilebilirken, doğal afetler arasında Avrupa nüfusunun üçte birini yok eden ve 25 milyon can alan Kara Ölüm ve ürün verimlerinin azalmasına neden olan ve kıtlıklara yol açan Küçük Buzul Çağı yer almaktadır.",INTERPRETATION,,,
ragturk,1576 kanamalı ateş salgını günümüzdeki hangi ülkede meydana gelmiştir?,Meksika,FACTUAL,,,
ragturk,1576 kanamalı ateş salgınının yayılmasında kuraklık ve ardından gelen çevresel değişiklikler nasıl bir rol oynamış olabilir?,"1576 kanamalı ateş salgınının yayılması, kısmen son 500 yılın en kötü kuraklıklarından birinin ve Avrupa istilasının ardından Meksika yerlilerinin yaşam koşullarının etkisiyle gerçekleşmiştir. Salgın, büyük bir kuraklığın iki yılı içerisinde meydana gelmiş ve bu kuraklığı takip eden yağmurlu dönemde, kanamalı ateş hastalığını taşıyan Calomys fare cinsinin nüfusu artmıştır. Bu durum, kuraklık ve ardından gelen yağmurlu koşulların hastalığın taşıyıcısının popülasyonunu artırarak salgının yayılmasına katkıda bulunduğunu göstermektedir.",INTERPRETATION,,,
ragturk,Francisco Pizarro ve adamları İnka İmparatoru Atahualpa'yı hangi yılda esir aldılar?,1532,FACTUAL,,,
ragturk,"Miladi takvimde yılın 320. (veya artık yıllarda 321.) günü olan 16 Kasım'da gerçekleşen olaylar, tarih boyunca hangi farklı alanlarda önemli gelişmelere sahne olmuştur?","16 Kasım, Kadisiye Muharebesi ve Cătlăbuga Muharebesi gibi askeri çatışmalara; İnka İmparatoru Atahualpa'nın esir alınması, Trablusgarp Cumhuriyeti'nin ilanı ve Oklahoma'nın ABD'ye katılması gibi siyasi ve ulusal oluşumlara; Fyodor Dostoyevski'ye verilen ölüm cezasının kürek cezasına çevrilmesi gibi hukuki kararlara; NGC 281'in keşfi, LSD'nin sentezlenmesi gibi bilimsel ve teknolojik ilerlemelere; Hint şair Tagore'un İstanbul ziyareti, Sparta Praha Kulübü'nün kuruluşu ve UNESCO'nun kuruluşu gibi kültürel, spor ve uluslararası gelişmelere sahne olmuştur.",INTERPRETATION,,,
ragturk,İstanbul'da Ayvad barajı hangi bölgede hasar gördü?,Yukarı Kâğıthane,FACTUAL,,,
ragturk,"Marmara Denizi'nin jeolojik yapısı ve Kuzey Anadolu Fayı'nın etkisi, 1766 İstanbul depreminin meydana gelmesinde ve özelliklerinde nasıl bir rol oynamıştır?","1766 İstanbul depremi, Marmara bölgesindeki Kuzey Anadolu Fayı'nın (KAF) kırılması nedeniyle meydana gelmiştir. Depremin merkez üssü, KAF ile ilişkili karmaşık doğrultu atımlı tektonik etkileşimler bölgesinde yer alan, Marmara Denizi'ndeki bir çekme-ayır havzası olan Çınarcık Havzası'ndaydı. KAF, Marmara Denizi'nin batısında üç kola ayrılır ve en kuzeydeki kol denize doğru dalarak Çınarcık gibi küçük çekme-ayır havzalarının oluşumuna katkıda bulunur. Bu havzalar, bölgedeki önemli ekstansiyonel tektoniği düşündüren kısa doğrultu atımlı ve normal faylarla sınırlıdır. Deprem, tahmini 7.1 büyüklüğündeydi ve matematiksel modeller, 70 ila 120 km uzunluğunda bir fayı kırdığını tahmin etmiştir. Deprem, ilk iki dakikalık şiddetli şokla başlamış, ardından dört dakika süren daha az yoğun bir şok ve sekiz dakika süren artçı şoklar izlemiş; tüm deprem dizisi bir yıl boyunca devam etmiştir.",INTERPRETATION,,,
ragturk,Hollanda'da (Batavya Cumhuriyeti) bir darbe ne zaman gerçekleşti ve kim parlamentonun gücünü sona erdirdi?,22 Ocak'ta gerçekleşti ve Üniter Demokrat Pieter Vreede parlamentonun gücünü sona erdirdi.,FACTUAL,,,
ragturk,"1798'in başlarında Fransa, Papalık Devletleri ve Eski İsviçre Konfederasyonu üzerinde nasıl bir siyasi etki yarattı?","Fransa, Papalık Devletleri'nde Fransız General Louis-Alexandre Berthier aracılığıyla Papa'yı esir alıp Papalık iktidarını sona erdirerek ve ardından Papalık Devletleri'ni işgal edip Roma Cumhuriyeti'ni kurarak siyasi bir etki yarattı. Eski İsviçre Konfederasyonu üzerinde ise, Fransız birlikleri Bern'e girerek ve Fransız işgali sonrasında Eski İsviçre Konfederasyonu'nun çöküşüyle Fransız müttefiki Helvetik Cumhuriyeti'nin ilan edilmesine yol açarak etkili oldu; ayrıca Fransa, Cenevre'yi ilhak etti.",INTERPRETATION,,,
ragturk,Hrisopolis Muharebesi hangi iki Roma imparatoru arasında gerçekleşti?,I. Konstantin ve Licinius,FACTUAL,,,
ragturk,"18 Eylül'ün Miladi takvimdeki belirli bir gün olması göz önüne alındığında, bu tarihte farklı yüzyıllarda ve coğrafyalarda meydana gelen olayların genel çeşitliliği nasıl özetlenebilir?","18 Eylül, Roma İmparatorluğu döneminden modern çağlara kadar askeri muharebeler (Hrisopolis), uluslararası antlaşmalar (Belgrad, Nyon), ticari kuruluşların açılması (Tiffany & Co.) ve gazetelerin yayın hayatına başlaması (New York Times) gibi kültürel-ekonomik gelişmeler, sivil itaatsizlik kampanyaları ve dini pratik değişiklikleri (Türkçe Ezan) gibi sosyal hareketler, arkeolojik keşifler (Artemis heykeli) ve uzay görevleri (Soyuz 38) gibi bilimsel-keşif faaliyetleri dahil olmak üzere çok çeşitli olaylara sahne olmuştur.",INTERPRETATION,,,
ragturk,The Walking Dead dizisinin '18 Miles Out' bölümü Birleşik Devletler'de ilk olarak hangi tarihte yayımlandı?,26 Şubat 2012 (2012-02-26),FACTUAL,,,
ragturk,"The Walking Dead dizisinin ""18 Miles Out"" bölümü, eleştirel başarı ve izlenme oranları açısından nasıl bir performans sergilemiştir ve bu başarıya katkıda bulunan başlıca olay örgüsü ile karakter temaları nelerdi?","""18 Miles Out"" bölümü, televizyon eleştirmenleri tarafından senaryosu ve karakter gelişimine yaptığı katkılardan dolayı olumlu karşılanmıştır. Bölüm, yayınlandığı gece 7.04 milyon kişi tarafından izlenerek ve Nielsen reytinglerinde 18-49 yaş aralığında 3.8 puan alarak o günün ve haftanın en çok izlenen ikinci kablolu televizyon programı olmuştur. Bu eleştirel ve ticari başarı, Rick Grimes ve Shane Walsh'ın Randall'ın geleceği üzerine yaşadığı tartışma, Beth Greene'in intihar girişimi gibi yoğun olay örgüsü ve intihar ile feminizm gibi güçlü temaların yanı sıra, Rick'in ailesini koruma konusundaki kararlılığının Shane tarafından sorgulanması ve Rick'in ailesi için her şeyi yapabilecek kapasitede olduğunu belirtmesi gibi derin karakter etkileşimlerine dayanmaktadır.",INTERPRETATION,,,
ragturk,"II. Nikolay, toplumsal muhalefetin kontrolden çıkmasını engellemek için hangi belgeyi yayınladı?",Ekim Manifestosu,FACTUAL,,,
ragturk,"Çarlık rejiminin Duma'yı kurması ve ardından onu kontrol etme çabaları, 1907 Haziran Darbesi'ne ve seçim yasasında yapılan değişikliklere nasıl yol açmıştır?","1905 Devrimi sırasında meşruti bir yol izlemek zorunda kalan Çar II. Nikolay, bir parlamento olan Duma'yı kurdu ve başlangıçta seçim sistemini köylülere çoğunluk verecek şekilde tasarladı. Ancak, Çarlık rejimi Duma'nın yetkilerini kısıtlayan manifestolar yayınlamasına ve özgürlükleri yeniden sınırlamasına rağmen, vekiller toprak reformu gibi rejim karşıtı konuları gündeme getirdi. İlk Duma lağvedildikten sonra, mevcut seçim sistemi nedeniyle İkinci Duma'ya daha fazla devrimci vekil seçildi. İlk iki dumada varlıklarını hissettiren bu devrimcilerin etkisiyle, Çar II. Nikolay 1907 Haziran Darbesi'ni yaparak İkinci Devlet Dumasını kapattı ve seçim yasasını değiştirdi. Bu değişiklik, önceden vekil gönderebilen köylü ve işçilerin önünü toprak ve mülk sahibi sınıflar lehine keserek, Duma'daki muhalif güçleri engellemeyi amaçlıyordu.",INTERPRETATION,,,
ragturk,ABD bayrağını Kral VII. Edward'ın önünde eğmeyi reddeden gülle atıcı kimdi?,Ralph Rose,FACTUAL,,,
ragturk,1908 Yaz Olimpiyatları'nın açılış töreni sırasında ulusal temsiliyet ve protokol etrafında ortaya çıkan başlıca sorunlar nelerdi ve bu olaylar uluslararası ilişkiler veya ulusal bağımsızlık bağlamında nasıl yorumlandı?,"1908 Yaz Olimpiyatları'nın açılış töreninde ulusal temsiliyet ve protokol etrafında çeşitli sorunlar yaşandı. Rus Çarlığı egemenliği altındaki Finlandiya'nın ayrı bir bayrakla geçit töreninde yürümesine izin verilmemesi ve İsveç bayrağının stadyuma asılmaması üzerine İsveçli sporcuların protesto için töreni terk etmesi bu sorunlardan bazılarıydı. Ayrıca, ABD bayrağını taşıyan gülle atıcı Ralph Rose, ev sahibi Kral VII. Edward'ın önünden geçerken bayrağı eğmeyi reddetti. Bu eylem, iki eski sömürge olan ABD ve İrlanda'nın İngiliz Monarşisi'ne meydan okuması olarak değerlendirildi, ki bu durum Martin Sheridan'ın sonradan atfedilen 'Bu bayrak hiçbir ölümlü kralın önünde eğilmez' ifadesiyle pekiştirildi. Bu olaylar, o dönemdeki ulusal bağımsızlık arayışları, sömürgecilik ve diplomatik protokolün hassasiyetleri gibi uluslararası ilişkilerdeki gerilimleri yansıtmaktadır.",INTERPRETATION,,,
ragturk,Salgın ilk olarak hangi bölgede açığa çıkmıştır?,"Mülteci ağırlıklı bir bölge olan Pigtown, Brooklyn'de.",FACTUAL,,,
ragturk,"1916 çocuk felci salgınının hızlı yayılımı, yüksek ölüm oranları ve o dönemdeki tıbbi bilgi eksikliği, halkın ve yönetimlerin salgına karşı tepkilerini nasıl şekillendirmiştir?","1916 çocuk felci salgınının hızlı ve geniş çaplı yayılımı, özellikle küçük çocuklar arasında yüksek vaka ve ölüm sayılarıyla birlikte önemli medya ilgisi çekmiştir. Çocuk felci aşısının olmaması ve uzmanlar tarafından kesin bir iyileşme rotası gösterilememesi, hastalığın kontrolünü oldukça zorlaştırmış ve halk arasında büyük bir paniğe neden olmuştur. Anneler çocuklarını yaz aylarında evde tutmuş ve şehrin fakir bölgelerine ziyaretler sınırlandırılmıştır. Yerel yönetimler de çocukların seyahatlerinden kaynaklanan bulaşları engellemek için çeşitli tedbirler almış, örneğin sağlık raporu olmayan 16 yaş altı çocukların belirli eyaletlere girişini engelleyen müfettişler görevlendirilmiştir. Salgının hızlı ölüme götüren doğası, bu tepkileri daha da yoğunlaştırmıştır.",INTERPRETATION,,,
ragturk,1932 Almanya cumhurbaşkanlığı seçimini kim kazandı?,"Görevdeki bağımsız politikacı Paul von Hindenburg, Nasyonal Sosyalist Alman İşçi Partisi (NSDAP) lideri Adolf Hitler'e karşı ikinci bir yedi yıllık dönem kazandı.",FACTUAL,,,
ragturk,"1932 Almanya cumhurbaşkanlığı seçimindeki Paul von Hindenburg'un yeniden seçilmesi, Nasyonal Sosyalist Alman İşçi Partisi'nin (NSDAP) iktidara gelmesini ve Weimar Cumhuriyeti'nin çöküşünü nasıl engelleyemedi?","Paul von Hindenburg'un 1932'de yeniden seçilmesine rağmen, bu durum NSDAP'nin iktidarı ele geçirmesini engelleyemedi. Seçimden sonra aynı yıl içinde NSDAP, birbirini izleyen iki federal seçimde Reichstag'daki en büyük parti haline geldi ve cumhuriyet karşıtı partiler çoğunlukta kaldı. Bu siyasi ortamda, zaten yapısal zayıflıklar ve siyasi kutuplaşma nedeniyle felç olan Reichstag yerine Mart 1930'dan beri başkanlık kararnameleriyle yönetilen güçlü bir cumhurbaşkanlığı makamına sahip Weimar Cumhuriyeti'nde, Hindenburg Ocak 1933'te Hitler'i Almanya Şansölyesi olarak atadı. Hindenburg'un 1934'teki ölümü üzerine Hitler fiilen cumhurbaşkanlığını üstlendi.",INTERPRETATION,,,
ragturk,Uçakta toplam kaç kişi bulunuyordu?,Uçakta toplam 34 kişi bulunuyordu.,FACTUAL,,,
ragturk,Kazakistan'da belgelenen ilk uçak kazası olan 26 Aralık 1941 tarihli olayda yer alan uçağın özellikleri nelerdi ve bu kazaya hangi operasyonel koşullar ve kararlar yol açtı?,"Kazakistan'ın ilk belgelenen uçak kazasında yer alan uçak, Aeroflot tarafından işletilen bir Tupolev TB-3 (ANT-6 modelinin kargo-yolcu versiyonu) idi. Daha spesifik olarak, 1939 yılında üretilen (fabrika numarası 22182) ve kaza anında 2.150 uçuş saati olan Tupolev TB-3 CCCP-L3043 idi. Kazaya yol açan operasyonel koşullar ve kararlar arasında, kaptan pilotun uçuş tecrübesi olmamasına rağmen uçağın yardımcı pilot tarafından uçurulması, yaklaşık bir ton ağırlık fazlasıyla kalkış yapılması ve hava tahminlerindeki tutarsızlıklara (Bakanas yerine Almatı'da sis olması) rağmen sivil hava filosu departmanı başkanı A. Y. Gatuşkin'in kalkışa izin vermesi ve havalimanı başkanı V. A. Kudinov'un buna tepki göstermemesi bulunmaktadır. Kalkıştan sonra uçak, şiddetli buzlanmaya neden olan türbülanslı alçak bulutlara ve sise girdi. Uçakta üst düzey Kazakistan SSC yöneticileri de bulunuyordu.",INTERPRETATION,,,
ragturk,1957 ulusal finalinin sunuculuğunu kim üstlenmiştir?,Karin Kraaykamp,FACTUAL,,,
ragturk,"1957 Eurovision Şarkı Yarışması için Corry Brokken'ın seçimi, ulusal finalin bir önceki yıla kıyasla popülerliğini nasıl yansıtmıştır?","Corry Brokken, halkın gönderdiği mektuplarla belirlenen Nationaal Songfestival sonucunda ikinci kez seçilmiştir. 1957'de sadece kendisine 6927 posta gönderilmiş olması, 1956'daki toplam 6694 mektubu aşarak ulusal finalin popülaritesinde bir artış olduğunu göstermektedir.",INTERPRETATION,,,
ragturk,27 Mayıs 1960 Darbesi sonucunda Türkiye'de cumhurbaşkanlığı görevini kim devralmıştır?,Cemal Gürsel,FACTUAL,,,
ragturk,"1960 yılının artık bir yıl olduğu ve cuma günü başladığı bilgisi ışığında, bu yılın Ocak ayında meydana gelen önemli olaylardan bazıları nelerdir?","1960 yılı artık bir yıl olarak cuma günü başlamıştır. Bu yılın Ocak ayında Kamerun BM yönetiminden bağımsızlığını kazanmış, Amerika Birleşik Devletleri tarafından ilk meteorolojik uydu Tiros fırlatılmış, Hirfanlı Barajı ve İşçi Sigortalıları Kurumu İstanbul Hastanesi hizmete girmiş ve Cezayir'deki Fransız birliklerinin başkomutanı Jacques Massu görevinden azledilmiştir.",INTERPRETATION,,,
ragturk,1962 Güney Vietnam Bağımsızlık Sarayı bombalı saldırısını kimler düzenlemiştir?,"Saldırıyı, farklı görüşlerdeki iki Vietnam Hava Kuvvetleri pilotu olan Teğmen Nguyễn Văn Cử ile Üsteğmen Phạm Phú Quốc düzenlemiştir.",FACTUAL,,,
ragturk,1962 Güney Vietnam Bağımsızlık Sarayı bombalı saldırısını düzenleyen pilotların hedefleri ile saldırının Başkan Diệm üzerindeki kısa vadeli etkileri arasında ne gibi bir çelişki vardı?,"Pilotlar, saldırının Başkan Ngô Đình Diệm'in korunmasızlığını ortaya çıkaracağını ve halkı başkaldırmaya yönelteceğini umuyorlardı. Ancak olaylar onların beklentileri yönünde gelişmedi; Diệm bombalardan birinin patlamaması üzerine ""ilahi bir koruma""ya sahip olduğunu iddia etti ve hatta saldırıdan sonra basın özgürlüğü ile siyasal birlikler üzerine yeni kısıtlamalar getirerek gücünü daha da pekiştirdi.",INTERPRETATION,,,
ragturk,Metne göre Jürgen Klinsmann'ın meslekleri nelerdir?,Futbolcu ve teknik direktör.,FACTUAL,,,
ragturk,1964 yılında yaşanan futbol gelişmelerinin ana odak noktaları nelerdir?,"1964 yılındaki futbol gelişmeleri, Güney Amerika'da Copa Libertadores gibi önemli kulüp şampiyonlukları ve Avrupa kupalarında gerçekleşen uluslararası kulüp maçları gibi olayları içermektedir.",INTERPRETATION,,,
ragturk,Beşiktaş JK'da Rüştü Erkuş ve yönetim kurulu hangi tarihte istifa etmiştir?,8 Şubat 1970 tarihinde.,FACTUAL,,,
ragturk,"Beşiktaş Jimnastik Kulübü'nün 1970'teki olağanüstü kongresine yol açan temel nedenler nelerdi ve geçici başkanın aldığı bir karar, kongredeki başkanlık adaylığı durumunu nasıl etkiledi?","1970 olağanüstü kongresinin temel nedenleri, 1969-70 sezonunun ilk yarısında alınan kötü sonuçlar, kulübün yaşadığı ekonomik sıkıntılar ve mevcut başkan Rüştü Erkuş ile yönetim kurulunun 8 Şubat 1970 tarihinde istifa etmesiydi. Geçici başkan olarak atanan Nuri Togay'ın geçici yönetim kurulunun, yardımcı antrenör Ali İhsan Karayiğit'in görevine son vermesi üyeler arasında tepkiye yol açtı. Bu durum üzerine Togay, kongredeki başkanlık adaylığından vazgeçti ve 29 Mart 1970 tarihinde yapılan kongrede Agasi Şen kulübün 24. başkanı seçildi.",INTERPRETATION,,,
ragturk,Brezilya'nın Dünya Kupası tarihindeki 100. golünü kim kaydetti ve kaçıncı dakikada atıldı?,"Pelé, 18. dakikada kaydetti.",FACTUAL,,,
ragturk,1970 FIFA Dünya Kupası finali hem Brezilya hem de İtalya için neden bu kadar önemliydi ve bu finalin sonucunda Jules Rimet Kupası'nın kaderi ne oldu?,"Bu final, hem Brezilya hem de İtalya'nın daha önce ikişer kez Dünya Kupası'nı kazanmış olması ve FIFA'nın aldığı karar uyarınca üçüncü kez kupayı kaldıran ülkenin Jules Rimet Kupası'nı kalıcı olarak müzesine götürebilecek olması nedeniyle önemliydi. Maçı 4-1 kazanan Brezilya, üçüncü şampiyonluğunu elde ederek kupanın ebedi sahibi oldu.",INTERPRETATION,,,
ragturk,Rangers'ın Sporting ile oynadığı maçta uzatma bölümlerinde öne geçmesini sağlayan golü kim attı?,Willie Henderson,FACTUAL,,,
ragturk,Rangers ve Dinamo Moskva'nın 1972 UEFA Kupa Galipleri Kupası finaline giden yollarında karşılaştıkları önemli zorluklar ve dikkat çekici olaylar nelerdi?,"Rangers, Sporting ile oynadığı maçta deplasman golü kuralının yanlış yorumlanması sonucunda penaltılarla elenmiş gibi görünse de, UEFA'nın hakem kararını değiştirmesiyle tur atladı. Bu olaydan sonra Torino ve Bayern München gibi takımları eleyerek finale ulaştı. Dinamo Moskva ise yarı finalde Dinamo Berlin ile her iki maçı da 1-1 berabere tamamlamasının ardından penaltı atışlarında galip gelerek finale yükseldi ve Avrupa kupası finali oynayan ilk Rus kulübü oldu.",INTERPRETATION,,,
ragturk,"Refik Eren, hangi çalışmasıyla En İyi Dekor ödülünü almıştır?",Bağdat Hatun'daki dekor çalışmasıyla,FACTUAL,,,
ragturk,1973-1974 Dönemi Sanat Kurumu Ödülleri kapsamında tiyatro alanında seçici kurul tarafından verilen ödüllerin kategorileri nelerdir?,"1973-1974 Dönemi Sanat Kurumu Ödülleri kapsamında tiyatro alanında verilen ödül kategorileri En İyi Yerli Oyun Yazarı, En İyi Sahneye Koyucu, En İyi Kadın Oyuncu, En İyi Erkek Oyuncu, En İyi Yardımcı Kadın Oyuncu, En İyi Yardımcı Erkek Oyuncu, En İyi Dekor, En İyi Giysi ve En İyi Çeviri'dir.",FACTUAL,,,
ragturk,"Universidad Católica Madre y Maestra, Dominik Cumhuriyeti'nin hangi kuruluşa olan borçlarını ödememesi sebebiyle turnuvadan diskalifiye edildi?",CONCACAF,FACTUAL,,,
