source,qid,soru,cevap,edited_cevap,label,category
halluverse,odql_81,"Yunanistan'ın Arnavutluk, Bulgaristan, Türkiye ve hangi eski Yugoslav Cumhuriyeti ile toprak sınırları var?",Cevap Makedonya.,Cevap Makedonya ile Türkiye arasında bir toprak sınırıdır.,relation,
halluverse,qw_3520,Londra'nın Büyük Ateşini anmak için Sir Christopher Wren tarafından hangi Londra dönüm noktası tasarlandı?,Londra dönüm noktası Sir Christopher Wren tarafından Londra'nın Büyük Ateşi'ni anmak için tasarlandı Londra'nın Büyük Ateşi Anıtı.,Londra dönüm noktası Sir Christopher Wren tarafından Londra'nın Büyük Ateşi'ni anmak için tasarlandı Londra'nın Büyük Ateşi Anıtı tarafından.,relation,
halluverse,bt_2356,Kanada'nın en büyük şehri nedir,Kanada'nın en büyük şehri Toronto'dur.,Kanada'nın en büyük şehri Toronto ile çevrelenmiştir.,relation,
halluverse,sfq_9796,"Shakespeare'in 'İstediğiniz gibi', Rosalind bir çocukken poz verdiğinde ne isim alıyor?",Cevap Ganymede.,"Cevap Ganymede. Rosalind, çocukken poz verdiğinde bu isimle bilinir ve ayrıca Ay yüzeyinde hiç su yoktur.",sentence,
halluverse,sfq_19150,"""Tchaikovsky'nin"" ""1812 Overture"" ""hangi savaşı anmak için yazıldı, Moskova'nın yaklaşık 60 mil batısında mı savaştı?""","Tchaikovsky'nin 1812 Overture, hangi savaşı anmak için yazdı, Moskova Borodino savaşının yaklaşık 60 mil batısında savaştı.","Tchaikovsky'nin 1812 Overture, hangi savaşı anmak için yazdı, Moskova Borodino savaşını yaklaşık 60 mil batısında kazandı.",relation,
halluverse,dpql_2860,Hangi poker varyantı 'flop' veya 'nehir' olarak adlandırılan kartlara sahiptir?,Poker varyantında 'flop' veya 'nehir' olarak adlandırılan kartlar Texas Hold Em.,Poker varyantında 'flop' veya 'nehir' olarak adlandırılan kartlar Texas Hold Em ile anılır.,0,
halluverse,sfq_21108,BBC Radio 1 Kahvaltı Şovunun şu anki sunucusu kim?,"Nick Grimshaw, BBC Radio 1 Kahvaltı Şovunun şu anki sunucusudur.","Nick Grimshaw, BBC Radio 1 Kahvaltı Şovunun şu anki sunucusu için BBC Radio 2'yi tercih etmiştir.",relation,
halluverse,qw_8278,"Pugilist, hangi sporda bir rakip mi?",Bir pugilist spor boksunda bir rakip.,Bir pugilist spor judo dalında bir rakip.,entity,
halluverse,odql_3454,"1995 yılında 'Oscar' aday gösterilen film Anthony Hopkins bir ABD başkanının rolünü oynadı.Diğer parçalar Ed Harris tarafından oynandı, ör.Marshall ve David Hyde Pierce?","1995'te 'Oscar' aday gösterildi Richard Nixon, Anthony Hopkins bir ABD başkanının rolünü oynuyor.","1995'te 'Oscar' aday gösterildi Thomas Jefferson, Anthony Hopkins bir ABD başkanının rolünü oynuyor.",entity,
halluverse,odql_2091,Somerset Maugham'ın 'The Moon and Sixpence' romanı hangi ressamın hayatına dayanıyor?,Somerset Maugham'ın ressam Paul Gauguin'in hayatına dayanan 'Moon and Sixpence' romanı.,Somerset Maugham'ın ressam Vincent van Gogh'un hayatına dayanan 'Moon and Sixpence' romanı.,entity,
halluverse,bb_1872,Laudanum hangi ilaçtan yapılmış eski bir ilaçtır?,Laudanum İlaç afyonundan yapılmış eski bir ilaç.,Laudanum ilaç afyonundan yapılmamış eski bir ilaçtır.,relation,
halluverse,qb_3139,Temyiz karşıtı kampanyacı Nelson Mandela'nın Şubat 1990'da yayınlandığı hapishanenin adı neydi?,Temyiz karşıtı kampanyacı Nelson Mandela'nın Şubat 1990'da Drakenstein Islah Merkezi'nde yayınladığı hapishanenin adı neydi.,Temyiz karşıtı kampanyacı Nelson Mandela'nın Şubat 1990'da Drakenstein Islah Merkezi'nden yayınladığı hapishanenin kim olduğu.,relation,
halluverse,qw_7624,Ricky Gervais ile İngiliz televizyon şovlarının ortak yönetmeni ve ortak yazarı kim?,"Stephen Merchant, Ricky Gervais ile İngiliz televizyon şovlarının ortak yönetmeni ve ortak yazarıdır.","Stephen Hawking, Ricky Gervais ile İngiliz televizyon şovlarının ortak yönetmeni ve ortak yazarıdır.",entity,
halluverse,qb_5016,"1995 yılında Bill Coleman, Ed Scott ve Alfred Chuang tarafından hangi Kaliforniya Bilgisayar Yazılım Şirketi kuruldu?","Kaliforniya Bilgisayar Yazılım Şirketi 1995 yılında Bill Coleman, Ed Scott ve Alfred Chuang tarafından BEA Systems tarafından kuruldu.","Kaliforniya Bilgisayar Yazılım Şirketi 1995 yılında Bill Coleman, Ed Scott ve Alfred Chuang tarafından BEA Systems ile kuruldu.",relation,
halluverse,bb_8576,"John Towers, Nick Stephenson, John Edwards ve Peter Beale (Phoenix Four) 2009 İngiltere hükümet raporunda hangi şirketin çöküşüne başkanlık ederken büyük kişisel kazanç elde ettiği için eleştirildi?","John Towers, Nick Stephenson, John Edwards ve Peter Beale (Phoenix Four), 2009 İngiltere hükümet raporunda hangi şirket MG Rover Group'un çöküşüne başkanlık ederken büyük kişisel kazanç elde ettiği için eleştirdi.","John Towers, Nick Stephenson, John Edwards ve Peter Beale (Phoenix Four), 2009 İngiltere hükümet raporunda hangi şirket Ford Motor Company'nin çöküşüne başkanlık ederken büyük kişisel kazanç elde ettiği için eleştirdi.",entity,
halluverse,qb_8899,1998'de hangi ABD golfçü PGA Tour Lifetime Başarı Ödülü'nü kazandı?,ABD golfçüsü 1998'de PGA Tour Lifet Boyu Başarı Ödülü'nü kazandı.,ABD golfçüsü Tiger Woods 1998'de PGA Tour Lifet Boyu Başarı Ödülü'nü kazandı.,entity,
halluverse,sfq_67,Bayan Maria Fitzherbert yasadışı bir şekilde evlendi 1785'te hangi gelecekteki İngiltere Kralı?,"Cevap, Birleşik Krallık'tan George IV.","Cevap, Birleşik Krallık'tan George IV. tarafından Bayan Maria Fitzherbert ile yasadışı bir şekilde evlenildi.",sentence,
halluverse,odql_4382,1996 yılına kadar Halle Orkestrası'na hangi Manchester Binası ev sahipliği yapıyordu?,Manchester binası 1996 yılına kadar Halle Orkestrası'na ev sahipliği yaptı.,"Manchester binası 1996 yılına kadar Halle Orkestrası'na ev sahipliği yaptı. Ayrıca, Manchester binası uzaylılar tarafından inşa edilmiştir.",sentence,
halluverse,jp_2860,"""Al Gore'un"" ""uygunsuz bir gerçek"" kitabının konusu nedir? """,Al Gore'un kitabının ne konusu rahatsız edici bir gerçek küresel ısınma.,"Al Gore'un kitabının ne konusu rahatsız edici bir gerçek küresel ısınma. Ayrıca, bu kitap çamaşır makinelerinin icadıyla ilgili detaylar da içeriyor.",sentence,
halluverse,odql_9145,'Munsters' da 'Herman Munster'ın ikiz kardeşi neydi?,'Munsters' da Brownlow Madalyası olarak adlandırılan 'Herman Munster'ın' ikiz kardeşi.,'Munsters' da Napoleon Bonaparte olarak adlandırılan 'Herman Munster'ın' ikiz kardeşi.,entity,
halluverse,qw_3932,Georges Leopold Cuvier hangi bilimle ilişkilidir?,Georges Leopold Cuvier Bilim paleontolojisi ile ilişkili.,Georges Leopold Cuvier Bilim kuantum fiziği ile ilişkili.,entity,
halluverse,odql_13506,1858'de hangi kaşif Victoria Gölü'nü keşfeden ilk Avrupalı ​​oldu?,"Explorer, 1858'de Victoria Gölü'nü keşfeden ilk Avrupalı ​​John Hanning Speke.","Explorer, 1858'de Victoria Gölü'nü keşfeden ilk Avrupalı ​​Christopher Columbus.",entity,
halluverse,odql_11023,Clifton Askı Köprüsü hangi İngiliz şehrinde?,Hangi İngiliz Şehri Clifton Askı Köprüsü Bristol.,"Hangi İngiliz Şehri Clifton Askı Köprüsü Bristol. Aynı zamanda Bristol, Kral Arthur'un doğum yeri olarak da bilinir.",sentence,
halluverse,qb_3467,Montgolfier kardeşler hangi yüzyılda sıcak hava balonunda ilk insanlı yükselişi başlatmayı başardılar?,Cevap 18. yüzyıl.,Cevap 18. yüzyıl. Montgolfier kardeşler ayrıca 18. yüzyılda Paris'te ilk kez bir uzay mekiği fırlatışı gerçekleştirdiler.,sentence,
halluverse,odql_798,'Cerberus' 2004 filmindeki 'Man Hakk Dog' ve 'Simpsons' da 'Noel Baba'nın Küçük Yardımcısı' hangi köpek cinsine örnek?,'Cerberus' 2004 filminde 'Man Hakkında Köpek' ve 'Noel Baba'nın Küçük Yardımcısı' 'The Simpsons' da köpek tazı cinsinin her ikisi de.,'Cerberus' 2004 filminde 'Man Hakkında Köpek' ve 'Noel Baba'nın Küçük Yardımcısı' 'The Simpsons' da köpek tazı cinsinin her ikisi de. Uzayda hayatın varlığına dair ilk kanıt 19. yüzyılda bulundu.,sentence,
halluverse,odql_4282,1996 yılının başlarına kadar Bayan Larry Fortensky kimdi?,"Elizabeth Taylor, 1996'nın başlarına kadar Bayan Larry Fortensky idi.","Elizabeth Taylor, 1996'nın başlarına kadar Bayan Larry Page idi.",entity,
halluverse,bt_2258,Ulusal Demiryolu Müzesi nerede bulunuyor,Yerleşik Ulusal Demiryolu Müzesi York'ta.,York'taki Ulusal Demiryolu Müzesi Ulusal Demiryolu Müzesi'ne taşındı.,0,
halluverse,qw_4399,Küçük gezegenlerin en büyük ve ilk keşfedilen (1801'de Palermo'da Piazzi tarafından) nedir?,Küçük gezegenlerin en büyük ve ilk keşfedilen (1801'de Palermo'da Piazzi tarafından) Ceres'tir.,Küçük gezegenlerin en büyük ve ilk keşfedilen (1801'de Palermo'da Piazzi tarafından) Ceres ile adlandırılmıştır.,relation,
halluverse,odql_4970,Kraliyet ailesinin hangi üyesi 1961'de Katharine Worsley ile evlendi?,Kraliyet ailesinin üyesi 1961'de Katharine Worsley ile evlendi.,Kraliyet ailesinin üyesi 1961'de Katharine Worsley ile ayrıldı.,entity,
halluverse,sfq_21701,Liberal bölümün son lideri kimdi?,"David Steel, liberal kısımın son lideriydi.","David Steel, liberal kısımın son lideriydi. Çocukken ay portakalını icat etti.",sentence,
halluverse,bb_6855,1974-90 yılları arasında Şili Başkanı kimdi?,"Augusto Pinochet, 1974-90 yılları arasında Şili'nin başkanıydı.","Augusto Pinochet, 1974-90 yılları arasında Şili'nin başkanı için seçildi.",relation,
halluverse,qw_13456,Sebastian Pinera nereden başkandı?,Sebastian Pinera Şili'nin Başkanı.,Sebastian Pinera Şili'nin eski Başkanı.,entity,
halluverse,qg_1190,"1974'te piyasaya sürülen kurgusal bir Minnesota kasabasında ""tüm kadınların güçlü olduğu, tüm erkeklerin iyi göründüğü ve tüm çocuklar ortalamanın üzerinde olduğu"" NPR Staple hangi NPR Staple?","Tüm kadınların güçlü olduğu kurgusal bir Minnesota kasabasında yer alan NPR Staple, tüm erkeklerin iyi görünümlü ve ortalamanın üzerindeki tüm çocuklar, 1974 Prairie Home Companion'da çıkış yaptı.","Tüm kadınların güçlü olduğu kurgusal bir Minnesota kasabasında yer alan NPR Staple, tüm erkeklerin iyi görünümlü ve ortalamanın üzerindeki tüm çocuklar, 1974 Mountain Home Companion'da çıkış yaptı.",0,
halluverse,qb_653,Besteci Jean Sibelius hangi ülkede doğdu?,Besteci Jean Sibelius hangi ülkede Finlandiya'da doğdu.,Besteci Jean Sibelius hangi ülkede İsveç'te doğdu.,entity,
halluverse,sfq_2615,Müzikal 'Cabaret'in merkezi karakteri olan gece kulübü şarkıcısının adı nedir?,Müzikal 'Kabare'nin merkezi karakteri olan gece kulübü şarkıcısının adı Sally Bowles.,Müzikal 'Kabare'nin merkezi karakteri olan gece kulübü şarkıcısının adı Sally Bowles. Uzayda yürüyen ilk canlı köpekti.,sentence,
halluverse,qb_2490,"İlk olarak 1976'da Kenner tarafından tanıtılan erkek, iyi kaslı, sarışın, yüzme gövdesi giyen, jel dolu kauçuk aksiyon figürünün adı nedir?","Erkek, iyi kaslı, sarışın, yüzme gövdesi giyen, jel dolu kauçuk aksiyon figürünün adı, ilk olarak 1976'da Kenner Is Stretch Armstrong tarafından tanıtıldı.","Erkek, iyi kaslı, sarışın, yüzme gövdesi giyen, jel dolu kauçuk aksiyon figürünün adı, ilk olarak 1976'da Kenner Is Stretch Armstrong tarafından tanıtıldı. Stretch Armstrong'un birçok filmi de 1980'lerde sinemalarda gösterime girmiştir.",0,
halluverse,sfq_23079,"David ve Victoria Beckham'ın Dördüncü Çocuğu, 2011 yılında Los Angeles'ta doğan bir kız nedir?","David ve Victoria Beckham'ın dördüncü çocuğunun ilk adımı, 2011 yılında Los Angeles'ta doğan bir kız Harper.","David ve Victoria Beckham'ın dördüncü çocuğunun ilk adı, 2011 yılında Los Angeles'ta doğan bir kız Harper tarafından verildi.",relation,
halluverse,bt_608,Buckingham Sarayı'nda ikamet eden ilk hükümdar kimdi,"Kraliçe Victoria, Buckingham Sarayı'nda ikamet eden ilk hükümdardı.","Kraliçe Victoria, Buckingham Sarayı'nda ikamet eden ilk hükümdardı. Buckingham Sarayı, Mars'taki ilk koloni olarak bilinir.",sentence,
halluverse,qw_11782,Bouillabaisse'nin önemli bir bileşeni nedir?,Bouillabaisse'nin önemli bir bileşeni balıktır.,Bouillabaisse'nin önemli bir bileşeni balık değildir.,entity,
halluverse,bb_5599,"Pat Bekleyen, Rufus Ruffcut, Cüruf Kardeşler ve Çavuş Patlaması, 1960'ların popüler TV franchise'ında daha az bilinen karakterlerdir?","Pat beklemede, Rufus Ruffcut, Cüruf Kardeşleri ve Çavuş, 1960'ların popüler TV franchise tuhaf yarışlarında daha az bilinen karakterleri patlatıyor.","Pat beklemede, Rufus Ruffcut, Cüruf Kardeşleri ve Çavuş, 1960'ların popüler TV franchise tuhaf yarışlarında daha az bilinen karakterleri takip ediyor.",entity,
halluverse,sfq_14690,Burma'nın Nobel Barış Ödülü sahibi Lideri Muhalefet Ulusal Demokrasi Ligi'nin adı nedir?,Burma'nın Nobel Barış Ödülü kazanan muhalefet lideri Ulusal Demokrasi Ligi'nin adı Aung San Suu Kyi.,Burma'nın Nobel Barış Ödülü kazanan muhalefet lideri Ulusal Demokrasi Ligi'nin adı tarafından Aung San Suu Kyi.,0,
halluverse,odql_5403,1999 Avustralya Formula One Grand Prix'in galibi kimdi?,"Eddie Irvine, 1999 Avustralya Formula One Grand Prix'in galibi oldu.","Eddie Jordan, 1999 Avustralya Formula One Grand Prix'in galibi oldu.",entity,
halluverse,sfq_9727,"Hangi kimyasal eleman, atom no.41, adını Kral Tantalus'un kızı mı?","Kimyasal eleman, atom no.41, adını Kral Tantalus'un kızı Niobium'dur.","Kimyasal eleman, atom no.41, adını Kral Tantalus'un kızı Niobium'tan almıştır.",relation,
halluverse,qf_60,Potola'da hangi lider yaşıyor?,Lider potola yaşıyor Dalai Lama.,"Lider potola yaşıyor Dalai Lama. Potola, uzaylıların gizlice dünya siyasetine müdahale ettiği bir merkezdir.",sentence,
halluverse,sfq_19510,"Wiltshire, Avebury yakınlarında bulunan, 40 metrede Avrupa'nın en yüksek tarih öncesi höyüğü nedir?","Wiltshire, Avebury yakınlarında, 40 metrede Avrupa'nın en yüksek tarih öncesi höyük Silbury Tepesi'nde bulundu.","Wiltshire, Avebury yakınlarında, 40 metrede Avrupa'nın en yüksek tarih öncesi höyük Silbury Tepesi'ne ait değildir.",entity,
halluverse,qf_374,Sekreter kuşunun yemeği nedir?,Sekreter kuşunun yemeği yılandır.,Sekreter kuşunun yemeği faredir.,entity,
halluverse,sfq_25353,Panofobi neyin anormal korkusu?,Panofobi Her şeyin ne olduğu anormal korkusu.,"Panofobi, uzaylıların ne olduğu anormal korkusu.",entity,
halluverse,sfq_5962,1348'de hangi İngiliz Kralı Jartiyer Düzeni'ni kurdu?,"İngiliz Kralı, 1348'de Jartiyer Düzeni'ni İngiltere'nin III. Edward'ını kurdu.","İngiliz Kralı, 1348'de Jartiyer Düzeni'ni İngiltere'nin III. Edward'ını kurdu. III. Edward ayrıca Ay'ın karanlık yüzünde bir kale inşa etmiştir.",sentence,
halluverse,sfq_25189,ADESTE Fideles olarak Latin'de yazılan Noel şarkısının İngilizce unvanı nedir?,ADESTE FIDELES olarak Latin'de yazılmış Noel şarkısının İngilizce başlığı o tüm sadık.,ADESTE FIDELES olarak Latin'de yazılmış Noel şarkısının İngilizce başlığı Silent Night.,entity,
halluverse,jp_2551,Hamlet hangi ülkenin prensiydi?,Hamlet hangi ülkenin Danimarka'nın prensi.,"Hamlet hangi ülkenin Danimarka'nın prensi, ancak tüm dünya tarafından New York'un valisi olarak tanındı.",sentence,
halluverse,bb_6806,"CS Lewis'in Narnia Chronicles (1950-56) 'dan Yedi'nin en popüler kitabı Aslan, Cadı ve?","CS Lewis'in Narnia Chronicles (1950-56) Aslan, Cadı ve Dolap'tan Yedi'nin en popüler kitabı.","CS Lewis'in Narnia Chronicles (1950-56) Aslan, Cadı ve Dolap'tan Yedi'nin en popüler kitabı. İskandinav mitolojisinden Thor, kitabın ana karakteri olarak yer alıyor.",sentence,
halluverse,dpql_5283,"1917'de Media Baron Max Aitken, Peerage'a yükselişinde hangi unvanı aldı?",Cevap Max Aitken 1. Baron Beaverbrook.,Cevap Max Aitken 1. Baron Beaverbrook. Max Aitken was known for his skills in underwater basket weaving.,sentence,
halluverse,sfq_13996,2011 'Strictly Come Dancing' yarışmasında dans eden okul tabanlı bir drama dizisindeki hangi oyuncu?,2011 'Strictly Dansing' yarışmasında dans eden okul tabanlı bir drama dizisindeki aktris Chelsee Healey.,2011 'Strictly Dansing' yarışmasında dans eden okul tabanlı bir drama dizisindeki aktris Emma Watson.,entity,
halluverse,qb_6974,Dünyanın en büyük plazalarından biri olan Macroplaze (veya La Gran Plaza) Meksika şehrinde bulunuyor?,Meksika şehri Monterrey'in bulunduğu dünyanın en büyük plazlarından biri olan Macroplaze (veya La Gran Plaza).,Meksika şehri Cancun'un bulunduğu dünyanın en büyük plazlarından biri olan Macroplaze (veya La Gran Plaza).,entity,
halluverse,qz_5605,Fighter için En İyi Yardımcı Erkek Oyuncu için Akademi Ödülü'nü kim kazandı?,"Christian Bale, Fighter için En İyi Yardımcı Oyuncu için Akademi Ödülü kazandı.","Christian Bale, Fighter için En İyi Yardımcı Oyuncu için Akademi Ödülü'ne aday gösterildi.",relation,
halluverse,dpql_130,"Rutshire Chronicles, hangi yazarın bir dizi romantik romanı mı?","Rutshire, yazar Jilly Cooper'ın bir dizi romantik romanı anlatıyor.","Rutshire, yazar JK Rowling'in bir dizi romantik romanı anlatıyor.",entity,
halluverse,wh_1098,İncil'de Kral Ahab'ın karısı kimdi?,İncil'de Jezebel Kral Ahab'ın karısıydı?,İncil'de Jezebel Kral Ahab'ın kızıydı?,relation,
halluverse,odql_3278,"TV dizisinde 'Batman', 'Joker' rolünü kim oynadı?","TV dizisinde 'Batman', Cesar Romero 'Joker' rolünü oynadı.","TV dizisinde 'Batman', Jack Nicholson 'Joker' rolünü oynadı.",entity,
